branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
Senate,107,0.091,193,2001-07-17,Ms. SNOWE.,2001,spice board author provid percent premium subsidi incent employ provid prescript drug coverag retire,This is why the SPICE Board is  authorized to provide the 25 percent  premium subsidy as an  incentive to  employers who  provide  prescription  drug coverage for their retirees,This is why the SPICE Board is  authorized to provide the 25 percent  premium subsidy as an  incentive to  employers who  provide  prescription  drug coverage for their retirees
,114,0.333,114,2016-07-06,Mr. CRENSHAW.,2016,author attorney gener award grant address nation epidem prescript opioid abus heroin use met full free confer agre recommend recommend respect hous follow senat reced disagr amend hous text bill agre amend follow lieu matter propos insert hous amend insert follow section,"524),  to authorize the Attorney General to award  grants to address the national epidemics of  prescription opioid abuse and heroin use,  having met, after full and free conference,  have  agreed  to  recommend  and  do  recommend to their respective Houses as follows:  That the Senate recede from its disagreement to the amendment of the House to the  text of the bill and agree to the same with an  amendment as follows:  In lieu of the matter proposed to be inserted by the House amendment, insert the  following:  SECTION 1","524),  to authorize the Attorney General to award  grants to address the national epidemics of  prescription opioid abuse and heroin use,  having met, after full and free conference,  have  agreed  to  recommend  and  do  recommend to their respective Houses as follows:  That the Senate recede from its disagreement to the amendment of the House to the  text of the bill and agree to the same with an  amendment as follows:  In lieu of the matter proposed to be inserted by the House amendment, insert the  following:  SECTION 1"
Senate,107,0.091,123,2002-07-17,Ms. SNOWE.,2002,medicar basic opportun provid health insur coverag doctor hospit prescript drug coverag,So Medicare was basically  an  opportunity  to  provide  health insurance coverage for doctors  and hospitals but no prescription drug  coverage,So Medicare was basically  an  opportunity  to  provide  health insurance coverage for doctors  and hospitals but no prescription drug  coverage
Senate,106,0.192,239,1999-03-24,Mr. SMITH of Oregon.,1999,presid rise today recognit extraordinari group peopl state work day protect children teenag danger alcohol drug abus,"President, I rise today in recognition of an extraordinary group of people in my state who are working each day to protect our children and teenagers from the dangers of alcohol and drug abuse","President, I rise today in recognition of an extraordinary group of people in my state who are working each day to protect our children and teenagers from the dangers of alcohol and drug abuse"
,106,0.29,36,2000-07-11,Mr. FRELINGHUYSEN.,2000,seek promot poorli disguis price control throw food drug administr protect consum suggest import drug safe reliabl fresh know not hold canada model health care deliveri inexpens medicin not requir price disclosur american industri compli demand research develop inform deni product approv not forthcom ignor fact cent rd dollar actual result approv fda product new medicin,"They seek to do so by promoting poorly disguised price controls, by throwing out Food and Drug Administration  protections  for  consumers, by  suggesting  that all  imported drugs are  safe,  reliable and fresh, and we know they are not; by holding up Canada as a model of health care delivery and  inexpensive medicines, which  it  is not; by requiring price disclosures that no other American industry has to comply with; and by demanding research and development  information and denying their product approvals if not forthcoming and by ignoring the fact that about 25 cents on the R&D dollar actually results in an approved FDA product or new medicine","They seek to do so by promoting poorly disguised price controls, by throwing out Food and Drug Administration  protections  for  consumers, by  suggesting  that all  imported drugs are  safe,  reliable and fresh, and we know they are not; by holding up Canada as a model of health care delivery and  inexpensive medicines, which  it  is not; by requiring price disclosures that no other American industry has to comply with; and by demanding research and development  information and denying their product approvals if not forthcoming and by ignoring the fact that about 25 cents on the R&D dollar actually results in an approved FDA product or new medicine"
House,108,-0.19,55,2003-07-14,Mr. DOOLEY of California.,2003,go stand abl promis senior citizen medicar throughout countri fact prescript drug benefit medicar must accept senat fallback provis,"If we are going to  stand up and be able to promise to senior citizens on Medicare throughout  this country that there will, in fact, be  a prescription drug benefit  in Medicare, we must accept the Senate fallback provisions","If we are going to  stand up and be able to promise to senior citizens on Medicare throughout  this country that there will, in fact, be  a prescription drug benefit  in Medicare, we must accept the Senate fallback provisions"
House,105,0.435,1062,9,Mr. SOUDER.,1998,b purpos purpos act educ small busi concern advantag drug free workplac provid financi incent technic assist enabl small busi concern creat drug free workplac assist work parent keep children drug free, (b) PURPOSES.-The purposes of this Act are  to(1) educate small business concerns about the  advantages of a drug-free workplace;  (2) provide financial incentives and technical  assistance  to enable small business concerns to  create a drug-free workplace; and  (3) assist working parents  in keeping  children drug-free, (b) PURPOSES.-The purposes of this Act are  to(1) educate small business concerns about the  advantages of a drug-free workplace;  (2) provide financial incentives and technical  assistance  to enable small business concerns to  create a drug-free workplace; and  (3) assist working parents  in keeping  children drug-free
,103,-0.21600000000000005,595,2,Mr. CLEMENT.,1993,reintroduc drug free truck stop act, I reintroduced  the Drug Free Truck Stop Act, I reintroduced  the Drug Free Truck Stop Act
House,110,0.435,55,2007-02-14,Mr. BUYER.,2007,develop medicar prescript drug benefit work close charlieand sever colleagu see altern plan go work," During the development of the Medicare  prescription  drug  benefit,  I  worked closely with CHARLIEand several of my colleagues to see if there  was an alternative plan and how we  were going to work this out"," During the development of the Medicare  prescription  drug  benefit,  I  worked closely with CHARLIEand several of my colleagues to see if there  was an alternative plan and how we  were going to work this out"
Senate,95,0.078,1273,7,Mr. HEINZ.,1978,mani instanc manufactur must obtain prior approv one agenc food drug administr environ mental protect agenc depart agricultur market new product,"In many  instances, manufacturers must obtain prior  approval of one or more agencies such as the  Food and Drug Administration, the Environ mental Protection Agency or the Department  of Agriculture before they can market a new  product","In many  instances, manufacturers must obtain prior  approval of one or more agencies such as the  Food and Drug Administration, the Environ mental Protection Agency or the Department  of Agriculture before they can market a new  product"
