branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
Senate,115,-0.151,80,2018-03-07,Mr. KING.,2018,year bank host holiday food gift drive well music event rais money organ commun bicycl center biddeford unit way,"Over the years,  the bank has hosted holiday food and  gift drives, as well as musical events to  raise money for organizations such as  the Community Bicycle Center in Biddeford, ME, and United Way","Over the years,  the bank has hosted holiday food and  gift drives, as well as musical events to  raise money for organizations such as  the Community Bicycle Center in Biddeford, ME, and United Way"
House,113,-0.515,40,2014-12-10,Mr. THOMPSON of Mississippi.,2014,thank,"Speaker, I  thank Mr","Speaker, I  thank Mr"
House,113,0.385,29,2013-07-17,Mr. RENACCI.,2013,thank obamacar premium home state ohio expect increas percent leav taxpay hook signific rate hike," Thanks to ObamaCare, premiums in  my home State of Ohio are expected to  increase 88 percent, leaving taxpayers  on the hook for those significant rate  hikes"," Thanks to ObamaCare, premiums in  my home State of Ohio are expected to  increase 88 percent, leaving taxpayers  on the hook for those significant rate  hikes"
Senate,115,0.496,73,2017-02-14,Mr. CORNYN.,2017,rememb happen leadership major leader reid essenti everybodi frozen offer legisl amend legisl floor includ member major partythen democrat time,"Some of them remembered what  happened in 2014, when, under the leadership of then-Majority Leader Reid,  essentially everybody was frozen out of  offering legislation or amendments to  legislation  on  the  floor,  including  Members of the majority party—then,  Democrats, at the time","Some of them remembered what  happened in 2014, when, under the leadership of then-Majority Leader Reid,  essentially everybody was frozen out of  offering legislation or amendments to  legislation  on  the  floor,  including  Members of the majority party—then,  Democrats, at the time"
House,112,-0.382,33,2012-12-19,Ms. ESHOO.,2012,thank subcommitte,"I thank the chairman of  the  subcommittee, Mr","I thank the chairman of  the  subcommittee, Mr"
,114,0.602,137,2016-04-13,Mr. MARCHANT.,2016,requir becom mcdonald american extens must consist consensu top player nation rank earn enough vote select committe," The requirements to become a McDonald’s  All American are extensive as you must consistently be a consensus Top 20 player in the  national rankings, and earn enough votes from  the selection committee"," The requirements to become a McDonald’s  All American are extensive as you must consistently be a consensus Top 20 player in the  national rankings, and earn enough votes from  the selection committee"
,115,-0.378,1,2017-07-17,Mr. LEVIN.,2017,tendenc concern nation human right freedom china take back seat, So  there has been a tendency for concerns  in other nations about human rights  and freedom in China to take a back  seat, So  there has been a tendency for concerns  in other nations about human rights  and freedom in China to take a back  seat
,114,-0.402,88,2015-01-06,Mr. VISCLOSKY.,2015,major whitesid assign includ flight school student unit state armi aviat center excel fort rucker flight platoon leader st battalion attack nd combat aviat brigad fort bragg futur oper current oper offic st squadron th cav fort bragg headquart troop command st squadron th cav fort bragg student armi aviat captain career cours armi aviat center excel fort rucker recent aviat branch repres unit state militari academi west point," Major  Whiteside’s assignments include Flight School  Student, United States Army Aviation Center  of Excellence, Fort Rucker; Flight Platoon  Leader, 1st Battalion (Attack), 82nd Combat  Aviation Brigade, Fort Bragg; Future Operations and Current Operations Officer, 1st  Squadron,  17th CAV,  Fort Bragg; Headquarters Troop Commander, 1st Squadron,  17th CAV, Fort Bragg; Student, Army Aviation  Captain’s Career Course, Army Aviation Center of Excellence, Fort Rucker; and most recently Aviation Branch Representative, United  States Military Academy, West Point"," Major  Whiteside’s assignments include Flight School  Student, United States Army Aviation Center  of Excellence, Fort Rucker; Flight Platoon  Leader, 1st Battalion (Attack), 82nd Combat  Aviation Brigade, Fort Bragg; Future Operations and Current Operations Officer, 1st  Squadron,  17th CAV,  Fort Bragg; Headquarters Troop Commander, 1st Squadron,  17th CAV, Fort Bragg; Student, Army Aviation  Captain’s Career Course, Army Aviation Center of Excellence, Fort Rucker; and most recently Aviation Branch Representative, United  States Military Academy, West Point"
House,114,0.627,10,2016-05-25,Mr. MEADOWS.,2016,rise today ask colleagu not support reaffirm role congress make sure keep within bodi,"Speaker, I rise today to ask  my colleagues to not only support this,  but reaffirm the role that Congress has  and make sure that we keep it within  this body","Speaker, I rise today to ask  my colleagues to not only support this,  but reaffirm the role that Congress has  and make sure that we keep it within  this body"
Senate,115,-0.245,18,2017-05-10,Ms. KLOBUCHAR.,2017,start week monday former director clapper testifi great detail russian threat democraci fact russian feel empow believ,"We  started  the week on Monday, when  Former Director Clapper testified  in  great detail about the Russian threat  to our democracy and the fact that the  Russians feel empowered and that he  believes  they will do  it again and  again","We  started  the week on Monday, when  Former Director Clapper testified  in  great detail about the Russian threat  to our democracy and the fact that the  Russians feel empowered and that he  believes  they will do  it again and  again"
Senate,115,0.394,41,2018-03-20,Mr. CORKER.,2018,certainli dont shi away debat, I certainly don’t shy away from this  debate, I certainly don’t shy away from this  debate
,114,0.425,204,2015-01-13,Mr. SMITH of Texas.,2015,ambassador,ambassador,ambassador
House,113,0.605,29,2013-02-14,Mr. HARRIS.,2013,convers daughter goe see obstetrician convers would run like know maam your go see everyon group pregnanc seven eight peopl group," Now, that same conversation, if my  daughter now goes in to see an obstetrician, that conversation would run  like, You know, ma’am, you’re going to  have to see everyone in the group during your pregnancy, and we have seven  or eight people in the group"," Now, that same conversation, if my  daughter now goes in to see an obstetrician, that conversation would run  like, You know, ma’am, you’re going to  have to see everyone in the group during your pregnancy, and we have seven  or eight people in the group"
House,112,-0.313,37,2011-01-18,Mr. GARAMENDI.,2011,idea develop brother law jfk put effect first jack kennedi administr," The idea was developed by him and his  brother-in-law, JFK, and put into effect in the first year of the Jack Kennedy administration"," The idea was developed by him and his  brother-in-law, JFK, and put into effect in the first year of the Jack Kennedy administration"
House,114,-0.313,38,2015-01-27,Mr. GARAMENDI.,2015,us talk middl class,All of us talk  about the middle class,All of us talk  about the middle class
Senate,114,0.375,162,2015-01-13,Mr. PORTMAN.,2015,bill clerk read follow offic, The bill clerk read as follows:  OFFICER, The bill clerk read as follows:  OFFICER
House,114,-0.438,10,2015-11-16,Mr. CUMMINGS.,2015,bl found jobless rate veteran percent unemploy rate veteran serv sinc percent," The BLS found that in 2014 the jobless rate for all veterans was 5.3 percent, while the unemployment rate for  veterans who had served since 9/11 was  7.2 percent"," The BLS found that in 2014 the jobless rate for all veterans was 5.3 percent, while the unemployment rate for  veterans who had served since 9/11 was  7.2 percent"
Senate,112,-0.35100000000000003,152,2011-02-17,Mr. SCHUMER.,2011,pursuant paragraph rule xxvi stand rule major member committe shall constitut quorum report legisl measur,"Pursuant to paragraph 7(a)(1) of rule  XXVI of the Standing Rules, a majority of  the Members of the committee shall constitute a quorum for the reporting of legislative measures","Pursuant to paragraph 7(a)(1) of rule  XXVI of the Standing Rules, a majority of  the Members of the committee shall constitute a quorum for the reporting of legislative measures"
House,115,-0.403,22,2017-05-01,Mr. VEASEY.,2017,mani estim half million job countri high skill manufactur job cant fill,"We have, by many  estimates, about a half a million or  more  jobs  in this country that are  high-skilled manufacturing  jobs that  we can’t fill","We have, by many  estimates, about a half a million or  more  jobs  in this country that are  high-skilled manufacturing  jobs that  we can’t fill"
House,112,-0.428,2,2011-03-11,Mr. BLUMENAUER.,2011,would make huge differ health famili deal traffic congest air pollut reduc tyranni addict oil burn calori less fossil fuel,"It  would make a huge difference to the  health of our  families, dealing with  traffic congestion and air pollution,  and reduce the tyranny of our addiction to oil if we burned more calories  and less fossil fuel","It  would make a huge difference to the  health of our  families, dealing with  traffic congestion and air pollution,  and reduce the tyranny of our addiction to oil if we burned more calories  and less fossil fuel"
,113,-0.6859999999999999,157,2013-06-12,Ms. LEE of California.,2013,year work varieti role stalwart bay area busi like aerojet wonder bread nation associ home builder oakland outreach develop program,"Over  the  years, he also  worked  in a variety of roles at stalwart Bay  Area businesses like Aerojet, Wonder Bread,  The National Association of Home Builders  and Oakland’s Outreach Development Program","Over  the  years, he also  worked  in a variety of roles at stalwart Bay  Area businesses like Aerojet, Wonder Bread,  The National Association of Home Builders  and Oakland’s Outreach Development Program"
House,113,0.4,44,2013-07-24,Mr. ROGERS of Michigan.,2013,doesnt thing,It doesn’t do any  of those things,It doesn’t do any  of those things
House,113,-0.282,41,2013-03-15,Ms. GABBARD.,2013,home state hawaii exampl alu like abl take critic workforc invest fund help nativ hawaiian well alaska nativ nativ american indian advanc academ occup skill put path person econom self suffici," In my home State of Hawaii, for example, ALU LIKE is able to take critical workforce  investment  funds and  help Native Hawaiians as well as Alaska Natives and Native American Indians advance their academic or occupational skills and put them on a path to  personal and economic self-sufficiency"," In my home State of Hawaii, for example, ALU LIKE is able to take critical workforce  investment  funds and  help Native Hawaiians as well as Alaska Natives and Native American Indians advance their academic or occupational skills and put them on a path to  personal and economic self-sufficiency"
House,114,0.448,19,2016-11-14,Mr. YOUNG of Iowa.,2016,address problem congress help provid iowan other american rural commun reliabl phone servic conduct busi respond emerg live live," By addressing these problems, Congress can help provide Iowans and others and all Americans in rural communities with reliable phone service to  conduct  business,  respond  to  emergencies, and live their lives"," By addressing these problems, Congress can help provide Iowans and others and all Americans in rural communities with reliable phone service to  conduct  business,  respond  to  emergencies, and live their lives"
,114,0.333,114,2016-07-06,Mr. CRENSHAW.,2016,author attorney gener award grant address nation epidem prescript opioid abus heroin use met full free confer agre recommend recommend respect hous follow senat reced disagr amend hous text bill agre amend follow lieu matter propos insert hous amend insert follow section,"524),  to authorize the Attorney General to award  grants to address the national epidemics of  prescription opioid abuse and heroin use,  having met, after full and free conference,  have  agreed  to  recommend  and  do  recommend to their respective Houses as follows:  That the Senate recede from its disagreement to the amendment of the House to the  text of the bill and agree to the same with an  amendment as follows:  In lieu of the matter proposed to be inserted by the House amendment, insert the  following:  SECTION 1","524),  to authorize the Attorney General to award  grants to address the national epidemics of  prescription opioid abuse and heroin use,  having met, after full and free conference,  have  agreed  to  recommend  and  do  recommend to their respective Houses as follows:  That the Senate recede from its disagreement to the amendment of the House to the  text of the bill and agree to the same with an  amendment as follows:  In lieu of the matter proposed to be inserted by the House amendment, insert the  following:  SECTION 1"
House,114,-0.402,18,2015-05-14,Mr. DOGGETT.,2015,carney jr andrecarson matt cartwright kathi castor joaquin castro judi chu david n,"Carney, Jr., Andre´Carson, Matt  Cartwright, Kathy Castor, Joaquin Castro,  Judy Chu, David N","Carney, Jr., Andre´Carson, Matt  Cartwright, Kathy Castor, Joaquin Castro,  Judy Chu, David N"
House,115,-0.565,17,2017-02-14,Mr. HASTINGS.,2017,mani import issu opinion face countri moment life cannot figur colleagu across aisl think cede bureau land manag survey author feder own land state impugn integr right seek unemploy insur list import matter bodi address," There  are many more  important  issues, in my opinion, that face this  country at the moment, and for the life  of me, I cannot figure out why my colleagues across  the aisle  think  that  ceding Bureau of Land Management  survey authority over federally owned  land to the States and impugning the  integrity of those who rightfully seek  unemployment  insurance are on the  same  list of  important matters this  body should be addressing"," There  are many more  important  issues, in my opinion, that face this  country at the moment, and for the life  of me, I cannot figure out why my colleagues across  the aisle  think  that  ceding Bureau of Land Management  survey authority over federally owned  land to the States and impugning the  integrity of those who rightfully seek  unemployment  insurance are on the  same  list of  important matters this  body should be addressing"
Senate,112,-0.249,145,2012-09-20,Mr. COONS.,2012,may sound like simpl fair good govern wasnt easi road get," That may sound like simple fairness  and good governance, but it wasn’t an  easy road to get there"," That may sound like simple fairness  and good governance, but it wasn’t an  easy road to get there"
House,113,0.563,5,2013-07-31,Mr. PITTENGER.,2013,anyon worriedat least littl bit overse health care decis,Is  anyone worried—at least a little bit—  that she now oversees our health care  decisions?  Mr,Is  anyone worried—at least a little bit—  that she now oversees our health care  decisions?  Mr
,115,-0.237,95,2018-01-30,Mr. RUIZ.,2018,today would like recogn outstand career year servic,"Today, I  would like to recognize his outstanding career  and years of service","Today, I  would like to recognize his outstanding career  and years of service"
House,112,-0.499,8,2012-07-26,Mr. FRANK of Massachusetts.,2012,error guess ask error day know yesterday error,"What  is  the  error? I guess I should ask, What is the  error of the day? We know what yesterday’s error was","What  is  the  error? I guess I should ask, What is the  error of the day? We know what yesterday’s error was"
Senate,112,0.375,89,2012-09-20,Mr. COATS.,2012,american public desper new leadership white hous senateleadership absolut necessari restor nation growth prosper get peopl back work,"The American public  is desperate for new leadership, both  from the White House and from the  Senate—leadership that  is absolutely  necessary if we are to restore our Nation to growth and prosperity and get  our people back to work","The American public  is desperate for new leadership, both  from the White House and from the  Senate—leadership that  is absolutely  necessary if we are to restore our Nation to growth and prosperity and get  our people back to work"
,114,-0.263,75,2016-11-14,Mr. KIND.,2016,found univers locat plattevil wisconsin near wisconsin southwest border," Founded in 1866, the university is located in  Platteville, Wisconsin, near Wisconsin’s southwest border"," Founded in 1866, the university is located in  Platteville, Wisconsin, near Wisconsin’s southwest border"
,115,-0.317,1,2017-04-04,Mr. QUIGLEY.,2017,imagin," Imagine, Mr"," Imagine, Mr"
Senate,113,0.919,34,2014-06-04,Mr. LEE.,2014,remain optimist know american peopl still get," But I remain optimistic, because I  know that the American people still  get it"," But I remain optimistic, because I  know that the American people still  get it"
