branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
Senate,105,-0.256,176,7,Mr. KOHL.,1997,budget congress administr found way american peopl long ask us balanc budget balanc manner grow economi without grow incom inequ strengthen countri strength ene work famili," In this budget, the Congress and the  administration have found a way to do  what  the American people have  long  asked us to do: Balance the budget in a  balanced manner-grow  the economy  without growing  income  inequality strengthen  the country by strength ening the working family"," In this budget, the Congress and the  administration have found a way to do  what  the American people have  long  asked us to do: Balance the budget in a  balanced manner-grow  the economy  without growing  income  inequality strengthen  the country by strength ening the working family"
Senate,115,-0.151,80,2018-03-07,Mr. KING.,2018,year bank host holiday food gift drive well music event rais money organ commun bicycl center biddeford unit way,"Over the years,  the bank has hosted holiday food and  gift drives, as well as musical events to  raise money for organizations such as  the Community Bicycle Center in Biddeford, ME, and United Way","Over the years,  the bank has hosted holiday food and  gift drives, as well as musical events to  raise money for organizations such as  the Community Bicycle Center in Biddeford, ME, and United Way"
House,93,0.043,103,7,Mr. GILMAN.,1974,today receiv impact aid money whlle recogn reason optheir respect district, today receive some impact aid money in  Whlle I recognize the reasons for optheir respective districts, today receive some impact aid money in  Whlle I recognize the reasons for optheir respective districts
Senate,111,-0.391,82,2010-05-20,Mr. KAUFMAN.,2010,long music play plenti money go around," As long as the music played, there  was plenty of money to go around"," As long as the music played, there  was plenty of money to go around"
House,105,0.316,1286,15,Mr. RAMSTAD.,1998,marriag penalti tax relief help million american coupl peopl home state minnesota alon," The marriage penalty tax relief will help 24  million American couples-875,000 people  in  my home state of Minnesota alone"," The marriage penalty tax relief will help 24  million American couples-875,000 people  in  my home state of Minnesota alone"
House,110,-0.317,10,2008-07-17,Mr. KAGEN.,2008,secondli must invest everi form renew energi avail provid tax incent wind solar geotherm biomass cellulos everi form clean home grown energi,"Secondly, we must invest in every form of  renewable energy available and provide  the tax incentives for wind, for solar,  geothermal,  biomass,  cellulosic  and  every form of clean, home-grown energy","Secondly, we must invest in every form of  renewable energy available and provide  the tax incentives for wind, for solar,  geothermal,  biomass,  cellulosic  and  every form of clean, home-grown energy"
Senate,110,-0.517,78,2007-03-23,Mr. SANDERS.,2007,know lead voic senat elimin disabl veteran tax,"I know that, year after  year, he has been the leading voice in  the Senate to eliminate the Disabled  Veterans Tax","I know that, year after  year, he has been the leading voice in  the Senate to eliminate the Disabled  Veterans Tax"
Senate,94,0.499,452,9,Mr. BUCKLEY.,1976,today renter deni incom tax deduct properti tax homeown enjoy year,"Today, renters are denied  an  income  tax deduction for property  taxes which homeowners have enjoyed  for years","Today, renters are denied  an  income  tax deduction for property  taxes which homeowners have enjoyed  for years"
,101,0.31,1281,20,Mr. BOND.,1989,propos us today modest relief phantom tax provid percent reduct year gain com pensat inflat, The proposal before us today has a  very modest relief from this phantom  tax by providing a 5-percent reduction  for up to 7 years in the gain to com pensate for inflation, The proposal before us today has a  very modest relief from this phantom  tax by providing a 5-percent reduction  for up to 7 years in the gain to com pensate for inflation
,106,0.426,57,2000-04-11,Mr. TERRY.,2000,think better keep money pocket washington,We think  it  is better that they keep their money in their pockets than in Washington,We think  it  is better that they keep their money in their pockets than in Washington
