branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
House,101,0.043,54,3,Mr. GILMAN.,1989,nation alon illicit drug deal repres estim billion untax activ, In our Nation alone  illicit drug dealing  represents an estimated $140 billion a year  untaxed activity, In our Nation alone  illicit drug dealing  represents an estimated $140 billion a year  untaxed activity
,103,-0.07,582,2,Mr. JACOBS.,1993,meyer arti cle cigarett centuri decemb american heritag illumin like light ning flash fact much america hid eousli costli heal th care crisi caus unwis behavior associ eat drink drive sex alcohol drug vio lenc especi smoke,"Meyer's arti cle  ""Cigarette Century""  in  the December  American Heritage, illuminates like a light ning flash this fact: much of America's hid eously costly heal th care crisis is caused by  unwise  behavior  associated with  eating,  drinking, driving, sex, alcohol, drugs, vio lence and, especially, smoking","Meyer's arti cle  ""Cigarette Century""  in  the December  American Heritage, illuminates like a light ning flash this fact: much of America's hid eously costly heal th care crisis is caused by  unwise  behavior  associated with  eating,  drinking, driving, sex, alcohol, drugs, vio lence and, especially, smoking"
House,103,0.273,426,7,Mr. FRANKS of Connecticut.,1994,belief welfar dollar end hand drug dealer,It is my belief that some  welfare dollars are ending up  in  the  hands of drug dealers,It is my belief that some  welfare dollars are ending up  in  the  hands of drug dealers
,106,0.271,54,2000-04-26,Mr. GORTON.,2000,give drug manufactur not opportun requir treat american purchas fairli requir not discrimin among american purchas six decad,"We will give the drug manufacturers not only the opportunity, but the requirement that they treat their American purchasers  fairly,  just as  they have been required not to discriminate among American purchasers for more than six decades","We will give the drug manufacturers not only the opportunity, but the requirement that they treat their American purchasers  fairly,  just as  they have been required not to discriminate among American purchasers for more than six decades"
House,101,-0.211,80,3,Mr. POSHARD.,1989,would hope rememb great promin name justic thurgood mar shall jame meredith jame baldwin shirley chisolm would rememb local hero heroin side side promin name shape nation direct," I would hope as we  remember  the great  and prominent names, Justice Thurgood Mar shall, James Meredith, James Baldwin, and  Shirley Chisolm, that we would also remember  our local heroes and heroines, who are side  by side with those more prominent names in  shaping our Nation's direction"," I would hope as we  remember  the great  and prominent names, Justice Thurgood Mar shall, James Meredith, James Baldwin, and  Shirley Chisolm, that we would also remember  our local heroes and heroines, who are side  by side with those more prominent names in  shaping our Nation's direction"
Senate,100,-0.301,410,1,Mr. MOYNIHAN.,1988,special assist ant urban affair presid nixon crisi heroin narcot deriv poppi plant," In 1969, when I was a Special Assist ant for Urban Affairs  for President  Nixon, the crisis was heroin, a narcotic  derived from the poppy plant"," In 1969, when I was a Special Assist ant for Urban Affairs  for President  Nixon, the crisis was heroin, a narcotic  derived from the poppy plant"
Senate,107,0.342,279,2001-01-22,Mr. GRASSLEY.,2001,drug free commun program,122.Drug-free  communities  program,122.Drug-free  communities  program
,95,-0.514,1094,5,Mr. RANGEL.,1977,approxim percent juri trial conduct central narcot court result convict higher convict rate non drug case citi,Approximately 76 percent of a.ll  jury  trials conducted  in  the central narcotics  courts have resulted in convictions-a higher  conviction rate than that for non-drUg cases  in the city,Approximately 76 percent of a.ll  jury  trials conducted  in  the central narcotics  courts have resulted in convictions-a higher  conviction rate than that for non-drUg cases  in the city
,114,0.333,114,2016-07-06,Mr. CRENSHAW.,2016,state demonstr grant comprehens opioid abus respons,601.State demonstration grants for comprehensive opioid abuse response,601.State demonstration grants for comprehensive opioid abuse response
House,99,-0.514,1408,6,Mr. RANGEL.,1986,agreement provid identif coordin avail sourc program combat indian juve nile alcohol drug abus preven tion educ counsel referr,"The agreement will provide for the  identification and coordination of available re sources and programs to combat Indian juve nile alcohol and drug abuse through preven tion, education, counseling, and referral","The agreement will provide for the  identification and coordination of available re sources and programs to combat Indian juve nile alcohol and drug abuse through preven tion, education, counseling, and referral"
