branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
House,95,0.3,1033,18,Mr. KEMP.,1977,time inflat continu increas everyon tax daili dividu incom push higher tax bracket," At the same time, inflation continues  to increase everyone's taxes daily, as in dividual  incomes  are pushed up  into  higher tax brackets"," At the same time, inflation continues  to increase everyone's taxes daily, as in dividual  incomes  are pushed up  into  higher tax brackets"
Senate,94,-0.5670000000000001,950,15,Mr. NELSON.,1976,recogn refer tax reform enorm compli cate intens controversi politi calli difficult," We recognize  that what we refer  to  as ""tax reform"" is enormously compli cated, intensely controversial and politi cally difficult"," We recognize  that what we refer  to  as ""tax reform"" is enormously compli cated, intensely controversial and politi cally difficult"
House,106,-0.556,18,1999-03-18,Ms. WOOLSEY.,1999,invest educ children ensur prepar high tech global economi prepar work peac know weapon mass destruct ballist missil destroy everi human earth,"By investing in education of our children, we will ensure that they are prepared for a high-tech global economy, they will be prepared  to work  for peace, and they will know that weapons of mass destruction and ballistic missiles  can  destroy  every  human being on this Earth","By investing in education of our children, we will ensure that they are prepared for a high-tech global economy, they will be prepared  to work  for peace, and they will know that weapons of mass destruction and ballistic missiles  can  destroy  every  human being on this Earth"
Senate,107,0.146,244,2001-01-22,Mr. MILLER.,2001,couldnt believ becam clear dont send overpay tax back paid much fritter away think american enjoy much stand,"I couldn’t believe it and it became clear to me that if we don’t send this overpayment of taxes back to those who paid it, much of it will be frittered away, and  I  think most Americans have enjoyed as much of that as they can stand","I couldn’t believe it and it became clear to me that if we don’t send this overpayment of taxes back to those who paid it, much of it will be frittered away, and  I  think most Americans have enjoyed as much of that as they can stand"
House,96,-0.269,1322,23,Mr. ANDERSON of California.,1980,abil look someth seem fine paper point prob lem real world great tribut bill pub lic work committe abl put togeth much outstand legi lation year,"He has  the ability  to  look at something  that  seems fine on paper, and point out prob lems it will have in the ""real world."" So,  it is a great tribute to BILL that our Pub lic Works Committee has been able to  put together so much outstanding legis lation over the years","He has  the ability  to  look at something  that  seems fine on paper, and point out prob lems it will have in the ""real world."" So,  it is a great tribute to BILL that our Pub lic Works Committee has been able to  put together so much outstanding legis lation over the years"
,95,-0.1,964,3,Mr. STEERS.,1978,would like urg hous repres ativ take prompt action reduc simplifi present tax code,"Speaker, I would  like to urge that the House of Represent atives take prompt action to reduce and  simplify the present tax code","Speaker, I would  like to urge that the House of Represent atives take prompt action to reduce and  simplify the present tax code"
Senate,102,-0.241,1133,3,Mr. BRYAN.,1991,major develop ad tax payer burden addit servic certainli costli,"If a  major development is added,  the tax payer's burdens for additional services  will certainly be costly","If a  major development is added,  the tax payer's burdens for additional services  will certainly be costly"
House,99,0.254,823,6,Mr. CHANDLER.,1986,site specul take advantag tax incent law requir util pay power avoid cost gener electr oil,"At  these  sites, speculators were  taking advantage of  both  tax incentives and  law requiring utilities  to pay  for the power at ""avoided costs"" of  generating electricity with  oil","At  these  sites, speculators were  taking advantage of  both  tax incentives and  law requiring utilities  to pay  for the power at ""avoided costs"" of  generating electricity with  oil"
House,97,-0.552,919,14,Mrs. COLLINS of Illinois.,1982,although subgrante liabl prime sponsor disallow cost small comfort prime sponsor subgrante money,"Although the subgrantee is liable  to  the prime sponsor  for  the disallowed  costs, this is of small comfort to the prime  sponsor if the subgrantee has no money","Although the subgrantee is liable  to  the prime sponsor  for  the disallowed  costs, this is of small comfort to the prime  sponsor if the subgrantee has no money"
Senate,107,-0.37,68,2001-03-06,Ms. MIKULSKI.,2001,cashier sale clerk backbon retail economi,They are  the cashiers and sales clerks who are  the backbone of our retail economy,They are  the cashiers and sales clerks who are  the backbone of our retail economy
